Protein Virus,Protein Người,Protein Chung
,FBLL1,CHMP7
,FZD3,CNIH4
,GPM6A,DENND4B
,GRAMD1C,DHRS1
,IER3IP1,C3orf58
,IFT80,DNAJC14
,ILDR2,ELOVL4
,JAG2,EPHA7
,JAM3,FAAH
,JPH3,FBLL1
,KCNJ11,FZD3
,KCNJ8,GPM6A
,LAMTOR2,GRAMD1C
,LMBR1,IER3IP1
,LRRC8B,IFT80
,MDFIC,ILDR2
,MIA2,JAG2
,MPZL2,JAM3
,NCAM1,JPH3
,NIPAL3,KCNJ11
,NIPSNAP1,KCNJ8
,PIGC,LAMTOR2
,PIGK,LMBR1
,PIGX,LRRC8B
,PODXL2,MDFIC
,REEP2,MIA2
,RTN1,MPZL2
,SEMA6A,NCAM1
,SLC41A3,NIPAL3
,PQLC1,NIPSNAP1
,SYT9,PIGC
,TMCC3,PIGK
,TMEM189,PIGX
,TMEM39A,PODXL2
,TMEM59L,REEP2
,TMX4,RTN1
,TRAM2,SEMA6A
,TRIM4,SLC41A3
,UBQLN4,PQLC1
,UNC5C,SYT9
,LOC107983993,TMCC3
,ABCB9,TMEM189
,ABHD6,TMEM39A
,ADD3,TMEM59L
,AHCYL2,TMX4
,ALCAM,TRAM2
,AP1AR,TRIM4
,ARL13B,UBQLN4
,ATP6V0C,UNC5C
,BAG4,LOC107983993
,CACHD1,ABCB9
,C19orf26,ABHD6
,CCDC117,ADD3
,CHMP6,AHCYL2
,CSNK1G3,ALCAM
,CTDSP1,AP1AR
,DCBLD1,ARL13B
,DESI2,ATP6V0C
,DMD,BAG4
,DNAJB6,CACHD1
,DOCK11,C19orf26
,EFNB2,CCDC117
,EHD1,CHMP6
,EHD4,CSNK1G3
,EPB41,CTDSP1
,EPB41L3,DCBLD1
,EPHA3,DESI2
,FAM83B,DMD
,FTSJ1,DNAJB6
,GRID1,DOCK11
,GUCY1B3,EFNB2
,IL1RAP,EHD1
,IQGAP2,EHD4
,LRIG1,EPB41
,LRIG2,EPB41L3
,METTL7A,EPHA3
,MPP6,FAM83B
,MPP7,FTSJ1
,NDRG3,GRID1
,OSBPL3,GUCY1B3
,PAG1,IL1RAP
,PCDH7,IQGAP2
,PIK3R3,LRIG1
,PIP5K1A,LRIG2
,PLCB1,METTL7A
,PPP1R15B,MPP6
,PRRT4,MPP7
,PTPN9,NDRG3
,PTPRG,OSBPL3
,REEP1,PAG1
,ROR2,PCDH7
,SCFD2,PIK3R3
,SH3BP4,PIP5K1A
,SLC16A10,PLCB1
,SLC1A4,PPP1R15B
,SLC20A2,PRRT4
,SLC26A6,PTPN9
,SLC27A3,PTPRG
,SLC30A4,REEP1
,SLC9B2,ROR2
,SPRY1,SCFD2
,STEAP1,SH3BP4
,TBC1D22B,SLC16A10
,TMEM222,SLC1A4
,TPD52L2,SLC20A2
,TUSC2,SLC26A6
,UBQLN2,SLC27A3
,USP20,SLC30A4
,WDR20,SLC9B2
,ZDBF2,SPRY1
